MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
8423,16,338,352,3,346,360,360,2,48,D2D_RA
8424,10,646,650,2,657,657,657,1,29,D2D_RA
8425,15,302,306,2,314,314,314,1,43,D2D_RA
8426,7,399,427,5,411,436,436,3,21,D2D_RA
8427,13,742,746,2,752,752,752,1,38,D2D_RA
8428,2,550,554,2,563,563,563,1,4,D2D_RA
8429,3,760,770,2,768,776,776,2,9,D2D_RA
8430,7,265,275,2,273,284,284,2,20,D2D_RA
8431,6,288,288,1,296,296,296,1,18,D2D_RA
8432,6,886,890,2,896,896,896,1,16,D2D_RA
8433,1,541,555,3,553,564,564,2,2,D2D_RA
8434,15,86,90,2,96,96,96,1,43,D2D_RA
8435,2,682,682,1,689,689,689,1,5,D2D_RA
8436,12,168,168,1,176,176,176,1,36,D2D_RA
8437,3,571,571,1,581,581,581,1,7,D2D_RA
8438,3,527,531,2,542,542,542,1,7,D2D_RA
8439,12,580,595,3,593,603,603,2,34,D2D_RA
8440,11,678,682,2,689,689,689,1,32,D2D_RA
8441,7,423,427,2,437,437,437,1,19,D2D_RA
8442,15,569,579,2,577,586,586,2,44,D2D_RA
8443,5,200,200,1,208,208,208,1,14,D2D_RA
8444,2,551,555,2,564,564,564,1,5,D2D_RA
8445,15,511,515,2,524,524,524,1,43,D2D_RA
8446,2,375,379,2,387,387,387,1,4,D2D_RA
8447,14,445,474,5,458,484,484,3,40,D2D_RA
8448,15,338,338,1,348,348,348,1,44,D2D_RA
8449,15,326,330,2,339,339,339,1,45,D2D_RA
8450,14,199,203,2,211,211,211,1,42,D2D_RA
8451,2,824,824,1,832,832,832,1,4,D2D_RA
8452,9,683,683,1,689,689,689,1,27,D2D_RA
8453,2,194,194,1,201,201,201,1,4,D2D_RA
8454,9,714,714,1,721,721,721,1,26,D2D_RA
8455,10,522,522,1,530,530,530,1,28,D2D_RA
8456,7,599,603,2,611,611,611,1,19,D2D_RA
8457,5,443,443,1,452,452,452,1,13,D2D_RA
8458,15,405,409,2,419,419,419,1,45,D2D_RA
8459,7,312,312,1,320,320,320,1,20,D2D_RA
8460,6,476,480,2,488,488,488,1,16,D2D_RA
8461,10,519,523,2,531,531,531,1,30,D2D_RA
8462,13,249,249,1,257,257,257,1,37,D2D_RA
8463,12,275,275,1,284,284,284,1,34,D2D_RA
8464,6,696,696,1,704,704,704,1,16,D2D_RA
8465,7,390,394,2,404,404,404,1,20,D2D_RA
8466,7,483,483,1,492,492,492,1,21,D2D_RA
8467,16,874,874,1,880,880,880,1,46,D2D_RA
8468,13,682,682,1,689,689,689,1,37,D2D_RA
8469,5,430,434,2,442,442,442,1,14,D2D_RA
8470,3,301,305,2,313,313,313,1,9,D2D_RA
8471,1,741,745,2,752,752,752,1,1,D2D_RA
8472,3,322,322,1,333,333,333,1,9,D2D_RA
8473,1,220,224,2,232,232,232,1,2,D2D_RA
8474,12,528,528,1,537,537,537,1,34,D2D_RA
8475,12,489,489,1,496,496,496,1,36,D2D_RA
8476,5,176,187,2,185,193,193,2,15,D2D_RA
8477,14,204,218,3,216,226,226,2,40,D2D_RA
8478,1,609,609,1,618,618,618,1,2,D2D_RA
8479,6,611,611,1,618,618,618,1,18,D2D_RA
8480,3,593,593,1,602,602,602,1,9,D2D_RA
8481,1,597,610,3,608,620,620,2,1,D2D_RA
8482,3,350,354,2,362,362,362,1,9,D2D_RA
8483,6,311,329,4,323,338,338,2,18,D2D_RA
8484,2,482,482,1,491,491,491,1,6,D2D_RA
