initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
63,18,21,12,3,0.388889,0.182446,303
61,18,17,15,4,0.314815,0.182446,338
53,22,12,18,2,0.222222,0.182446,320
46,24,11,19,0,0.203704,0.182446,283
58,19,14,19,2,0.259259,0.182446,310
66,16,15,18,5,0.277778,0.182446,333
50,21,12,19,2,0.222222,0.182446,322
64,15,17,16,6,0.314815,0.182446,319
50,22,12,18,2,0.222222,0.17136,300
51,21,14,18,1,0.259259,0.17136,339
62,16,18,14,6,0.333333,0.17136,335
55,20,16,15,3,0.296296,0.17136,303
50,22,13,18,1,0.240741,0.17136,318
40,27,9,18,0,0.166667,0.17136,304
62,17,19,14,4,0.351852,0.17136,346
67,14,18,17,5,0.333333,0.17136,321
48,23,14,17,0,0.259259,0.168805,296
51,21,17,13,3,0.314815,0.168805,312
46,24,10,19,1,0.185185,0.168805,316
47,22,12,18,2,0.222222,0.168805,301
40,29,12,13,0,0.222222,0.168805,306
60,23,18,12,1,0.333333,0.168805,341
46,24,14,16,0,0.259259,0.168805,327
59,19,16,16,3,0.296296,0.168805,296
72,15,19,12,8,0.351852,0.173524,343
72,12,15,22,5,0.277778,0.173524,358
61,18,15,15,6,0.277778,0.173524,325
64,18,20,14,2,0.37037,0.173524,324
55,19,15,16,4,0.277778,0.173524,302
53,18,14,16,6,0.259259,0.173524,323
60,12,12,20,10,0.222222,0.173524,312
69,14,19,14,7,0.351852,0.173524,357
57,23,15,14,2,0.277778,0.163928,318
57,18,15,17,4,0.277778,0.163928,316
42,25,12,17,0,0.222222,0.163928,322
59,18,20,13,3,0.37037,0.163928,341
46,24,9,21,0,0.166667,0.163928,355
56,19,14,20,1,0.259259,0.163928,321
61,17,14,15,8,0.259259,0.163928,362
46,20,9,21,4,0.166667,0.163928,318
54,24,17,12,1,0.314815,0.16326,328
53,22,13,16,3,0.240741,0.16326,331
49,20,11,18,5,0.203704,0.16326,326
39,23,6,24,1,0.111111,0.16326,304
53,15,11,21,7,0.203704,0.16326,340
50,20,12,18,4,0.222222,0.16326,321
52,19,13,19,3,0.240741,0.16326,335
52,25,15,14,0,0.277778,0.16326,322
53,18,16,17,3,0.296296,0.165874,338
50,19,11,20,4,0.203704,0.165874,329
63,17,17,17,3,0.314815,0.165874,354
58,22,16,14,2,0.296296,0.165874,380
54,24,14,15,1,0.259259,0.165874,307
67,11,16,19,8,0.296296,0.165874,328
52,23,16,14,1,0.296296,0.165874,337
53,20,13,18,3,0.240741,0.165874,329
57,15,14,18,7,0.259259,0.160431,351
63,18,20,13,3,0.37037,0.160431,377
60,16,16,15,7,0.296296,0.160431,335
71,12,18,14,10,0.333333,0.160431,350
50,22,12,18,2,0.222222,0.160431,329
57,19,18,15,2,0.333333,0.160431,369
51,20,13,18,3,0.240741,0.160431,376
52,20,12,20,2,0.222222,0.160431,339
55,19,16,18,1,0.296296,0.153243,343
59,15,15,17,7,0.277778,0.153243,361
55,19,16,16,3,0.296296,0.153243,355
59,16,19,15,4,0.351852,0.153243,380
54,22,15,14,3,0.277778,0.153243,399
53,19,14,17,4,0.259259,0.153243,363
42,26,11,17,0,0.203704,0.153243,311
52,20,10,19,5,0.185185,0.153243,352
58,22,19,11,2,0.351852,0.151547,364
61,17,17,16,4,0.314815,0.151547,352
41,26,10,18,0,0.185185,0.151547,316
59,18,14,16,6,0.259259,0.151547,365
55,23,17,13,1,0.314815,0.151547,383
50,21,14,16,3,0.259259,0.151547,374
58,17,14,18,5,0.259259,0.151547,384
61,19,19,14,2,0.351852,0.151547,377
51,20,13,18,3,0.240741,0.148729,362
52,21,15,16,2,0.277778,0.148729,332
46,27,11,16,0,0.203704,0.148729,342
42,25,11,18,0,0.203704,0.148729,360
57,20,16,15,3,0.296296,0.148729,392
42,23,10,20,1,0.185185,0.148729,333
52,22,10,20,2,0.185185,0.148729,359
42,25,9,20,0,0.166667,0.148729,354
55,21,16,16,1,0.296296,0.152824,371
63,19,21,13,1,0.388889,0.152824,344
50,20,12,18,4,0.222222,0.152824,334
38,26,8,20,0,0.148148,0.152824,316
56,22,18,12,2,0.333333,0.152824,358
58,18,15,17,4,0.277778,0.152824,379
62,16,17,15,6,0.314815,0.152824,367
64,16,13,19,6,0.240741,0.152824,371
63,17,19,15,3,0.351852,0.152638,359
55,17,14,18,5,0.259259,0.152638,394
69,18,19,15,2,0.351852,0.152638,375
45,27,13,14,0,0.240741,0.152638,330
45,26,10,18,0,0.185185,0.152638,361
58,17,16,16,5,0.296296,0.152638,387
67,16,20,15,3,0.37037,0.152638,388
61,21,18,13,2,0.333333,0.152638,392
49,26,15,13,0,0.277778,0.145145,345
51,24,14,16,0,0.259259,0.145145,398
49,22,13,17,2,0.240741,0.145145,399
43,23,9,21,1,0.166667,0.145145,355
50,24,12,17,1,0.222222,0.145145,373
52,19,12,19,4,0.222222,0.145145,353
57,16,14,20,4,0.259259,0.145145,402
62,18,14,18,4,0.259259,0.145145,372
54,22,15,16,1,0.277778,0.144611,362
61,12,12,19,11,0.222222,0.144611,372
59,18,16,18,2,0.296296,0.144611,366
43,21,9,22,2,0.166667,0.144611,361
67,14,20,15,5,0.37037,0.144611,371
46,26,12,16,0,0.222222,0.144611,381
44,26,11,17,0,0.203704,0.144611,370
47,21,11,20,2,0.203704,0.144611,355
63,15,17,16,6,0.314815,0.1471,401
63,17,20,13,4,0.37037,0.1471,410
67,20,17,15,2,0.314815,0.1471,381
55,17,14,19,4,0.259259,0.1471,388
45,25,11,18,0,0.203704,0.1471,350
66,16,22,10,6,0.407407,0.1471,371
47,23,11,18,2,0.203704,0.1471,349
64,17,18,13,6,0.333333,0.1471,407
67,18,21,10,5,0.388889,0.141815,375
45,24,10,19,1,0.185185,0.141815,376
50,21,14,16,3,0.259259,0.141815,356
52,23,15,15,1,0.277778,0.141815,380
60,18,16,16,4,0.296296,0.141815,391
47,22,11,18,3,0.203704,0.141815,367
64,18,17,15,4,0.314815,0.141815,415
58,17,16,17,4,0.296296,0.141815,366
48,23,12,18,1,0.222222,0.143039,380
57,18,15,14,7,0.277778,0.143039,378
43,23,10,19,2,0.185185,0.143039,375
50,19,12,20,3,0.222222,0.143039,350
55,20,15,18,1,0.277778,0.143039,396
58,19,16,17,2,0.296296,0.143039,359
47,25,12,17,0,0.222222,0.143039,371
49,25,14,15,0,0.259259,0.143039,370
54,23,13,17,1,0.240741,0.145191,377
57,17,13,19,5,0.240741,0.145191,368
56,21,14,17,2,0.259259,0.145191,420
63,18,16,17,3,0.296296,0.145191,434
57,24,14,16,0,0.259259,0.145191,345
60,17,16,16,5,0.296296,0.145191,355
55,20,15,18,1,0.277778,0.145191,390
61,18,18,16,2,0.333333,0.145191,376
54,21,15,16,2,0.277778,0.14171,388
64,15,18,16,5,0.333333,0.14171,416
43,22,10,21,1,0.185185,0.14171,373
58,19,18,13,4,0.333333,0.14171,397
53,23,15,14,2,0.277778,0.14171,371
48,21,12,18,3,0.222222,0.14171,414
49,23,14,16,1,0.259259,0.14171,421
52,20,16,13,5,0.296296,0.14171,379
44,26,14,14,0,0.259259,0.137064,392
48,23,11,19,1,0.203704,0.137064,398
51,27,13,14,0,0.240741,0.137064,378
53,20,16,16,2,0.296296,0.137064,403
54,21,12,18,3,0.222222,0.137064,453
56,19,15,16,4,0.277778,0.137064,402
49,22,13,18,1,0.240741,0.137064,347
55,18,12,20,4,0.222222,0.137064,387
54,20,13,19,2,0.240741,0.137372,413
